"ano","codigo_da_ies","nome_da_ies","sigla_da_ies","organizacao_academica","categoria_administrativa","sigla_da_uf","no_de_cursos_com_cpc_no_trienio","alfa_.proporcao_de_graduacao.","conceito_medio_de_graduacao","beta_.proporcao_de_mestrado_equivalente.","conceito_medio_de_mestrado","gama_.proporcao_de_doutorandos_._equivalente.","conceito_medio_do_doutorado","igc_.continuo.","igc_.faixa.","entidade_beneficiente_de_assistencia_social_.cebas."
"2021",3159,"FACULDADE DE TECNOLOGIA SENAI FLORIANÓPOLIS","SENAI -SC - CTAI","Faculdade","Privada sem fins lucrativos","SC",1,1,2.472,0,0,0,0,2.472,"3","-"
"2021",3162,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DE SANTA CATARINA","IFSC","Instituto Federal de Educação, Ciência e Tecnologia","Pública Federal","SC",24,0.962,3.324,0.037,4,0,0,3.349,"4","-"
"2021",3170,"FACULDADE ESTÁCIO DE FLORIANÓPOLIS - ESTÁCIO FLORIANÓPOLIS","","Faculdade","Privada com fins lucrativos","SC",5,1,2.572,0,0,0,0,2.572,"3","-"
"2021",3295,"FACULDADE SENAC FLORIANÓPOLIS","SENAC FLORIANÓPOLIS","Faculdade","Privada sem fins lucrativos","SC",5,1,2.858,0,0,0,0,2.858,"3","-"
"2021",3437,"Faculdade UNISUL de Balneário Camboriú ","","Faculdade","Privada com fins lucrativos","SC",3,1,3.234,0,0,0,0,3.234,"4","-"
"2021",3495,"FACULDADE PINHALZINHO","HORUS","Faculdade","Privada com fins lucrativos","SC",6,1,2.552,0,0,0,0,2.552,"3","-"
"2021",3518,"Faculdade SOCIESC de Jaraguá do Sul","SOCIESC","Faculdade","Privada com fins lucrativos","SC",5,1,3.513,0,0,0,0,3.513,"4","-"
"2021",3758,"Faculdade UNISUL de Florianópolis ","","Faculdade","Privada sem fins lucrativos","SC",4,1,3.629,0,0,0,0,3.629,"4","-"
"2021",3840,"CENTRO UNIVERSITÁRIO FACVEST","UNIFACVEST","Centro Universitário","Privada com fins lucrativos","SC",32,0.995,3.078,0.004,4,0,0,3.082,"4","-"
"2021",3946,"FACULDADE SENAC TUBARÃO","","Faculdade","Privada sem fins lucrativos","SC",3,1,2.413,0,0,0,0,2.413,"3","-"
"2021",3947,"FACULDADE SENAC CHAPECÓ","SENAC","Faculdade","Privada sem fins lucrativos","SC",1,1,1.843,0,0,0,0,1.843,"2","-"
"2021",3948,"FACULDADE SENAC BLUMENAU","SENAC","Faculdade","Privada sem fins lucrativos","SC",8,1,2.12,0,0,0,0,2.12,"3","-"
"2021",4157,"FACULDADE METROPOLITANA DE RIO DO SUL","FAMESUL","Faculdade","Privada com fins lucrativos","SC",6,1,2.385,0,0,0,0,2.385,"3","-"
"2021",4163,"CENTRO UNIVERSITÁRIO BARRIGA VERDE","UNIBAVE","Centro Universitário","Privada sem fins lucrativos","SC",13,1,2.388,0,0,0,0,2.388,"3","X"
"2021",4294,"FACULDADE SENAC JARAGUÁ DO SUL","","Faculdade","Privada sem fins lucrativos","SC",1,1,2.681,0,0,0,0,2.681,"3","-"
"2021",4495,"FACULDADE ANHANGUERA JARAGUÁ DO SUL","","Faculdade","Privada com fins lucrativos","SC",3,1,2.302,0,0,0,0,2.302,"3","-"
"2021",4518,"FACULDADE REGIONAL PALMITOS","FAP","Faculdade","Privada com fins lucrativos","SC",2,1,2.07,0,0,0,0,2.07,"3","-"
"2021",4610,"FACULDADE DE TECNOLOGIA ASSESSORITEC","","Faculdade","Privada sem fins lucrativos","SC",1,1,2.983,0,0,0,0,2.983,"4","-"
"2021",4674,"FACULDADE PORTO DAS ÁGUAS","FAPAG","Faculdade","Privada com fins lucrativos","SC",2,1,2.037,0,0,0,0,2.037,"3","-"
"2021",4756,"CENTRO UNIVERSITÁRIO MUNICIPAL DE SÃO JOSÉ","USJ","Centro Universitário","Pública Municipal","SC",4,1,2.4,0,0,0,0,2.4,"3","-"
"2021",5036,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA CATARINENSE","IF Catarinense","Instituto Federal de Educação, Ciência e Tecnologia","Pública Federal","SC",33,0.966,3.233,0.033,4,0,0,3.258,"4","-"
"2021",5131,"FACULDADE SENAC CAÇADOR","SENAC","Faculdade","Privada sem fins lucrativos","SC",3,1,1.91,0,0,0,0,1.91,"2","-"
"2021",5133,"FACULDADE SENAC SÃO MIGUEL DO OESTE","","Faculdade","Privada sem fins lucrativos","SC",2,1,1.642,0,0,0,0,1.642,"2","-"
"2021",5318,"FACULDADE GUILHERME GUIMBALA","FGG","Faculdade","Privada sem fins lucrativos","SC",4,1,1.564,0,0,0,0,1.564,"2","-"
"2021",5668,"FACULDADE ANHANGUERA DE JOINVILLE","","Faculdade","Privada com fins lucrativos","SC",11,1,2.265,0,0,0,0,2.265,"3","-"
"2021",5706,"FACULDADE MUNICIPAL DE PALHOÇA","FMP","Faculdade","Pública Municipal","SC",2,1,2.919,0,0,0,0,2.919,"3","-"
"2021",11604,"FACULDADE SANTA RITA DE CHAPECÓ","","Faculdade","Privada sem fins lucrativos","SC",2,1,2.728,0,0,0,0,2.728,"3","-"
"2021",13625,"FACULDADE DE TECNOLOGIA NOVA PALHOÇA","FATENP","Faculdade","Privada com fins lucrativos","SC",3,1,2.445,0,0,0,0,2.445,"3","-"
"2021",13717,"FACULDADES DO VALE DO ARARANGUA - FVA","FVA","Faculdade","Privada com fins lucrativos","SC",1,1,2.853,0,0,0,0,2.853,"3","-"
"2021",14097,"FACULDADE REFIDIM","Refidim","Faculdade","Privada sem fins lucrativos","SC",1,1,2.594,0,0,0,0,2.594,"3","-"
"2021",14288,"FACULDADE CATÓLICA DE SANTA CATARINA","FACASC","Faculdade","Privada sem fins lucrativos","SC",1,1,2.97,0,0,0,0,2.97,"4","-"
"2021",15032,"UNIVERSIDADE ALTO VALE DO RIO DO PEIXE","UNIARP","Universidade","Privada sem fins lucrativos","SC",23,0.945,3.148,0.054,4,0,0,3.194,"4","X"
"2021",15121,"UNIVERSIDADE FEDERAL DA FRONTEIRA SUL","UFFS","Universidade","Pública Federal","SC",37,0.906,3.357,0.09,4.095,0.002,4.5,3.428,"4","-"
"2021",16914,"Faculdade Leonardo da Vinci - Santa Catarina","","Faculdade","Privada com fins lucrativos","SC",5,1,2.747,0,0,0,0,2.747,"3","-"
"2021",17138,"Centro Universitário - Católica de Santa Catarina em Joinville","Católica em Joinvile","Centro Universitário","Privada sem fins lucrativos","SC",11,1,3.118,0,0,0,0,3.118,"4","-"
"2021",17277,"Faculdade  SENAC Criciúma","Senac Criciúma","Faculdade","Privada sem fins lucrativos","SC",1,1,1.58,0,0,0,0,1.58,"2","-"
"2021",17777,"FACULDADE SENAC CONCÓRDIA","","Faculdade","Privada sem fins lucrativos","SC",1,1,1.879,0,0,0,0,1.879,"2","-"
"2021",18025,"FACULDADE DE EDUCAÇÃO SUPERIOR DE CHAPECÓ","FACESC","Faculdade","Privada com fins lucrativos","SC",1,1,0.926,0,0,0,0,0.926,"1","-"
"2021",18201,"FACULDADE SENAC PALHOÇA","SENAC Palhoça","Faculdade","Privada sem fins lucrativos","SC",2,1,2.32,0,0,0,0,2.32,"3","-"
"2022",43,"FUNDAÇÃO UNIVERSIDADE DO ESTADO DE SANTA CATARINA","UDESC","Universidade","Pública Estadual","SC",38,0.626551433,3.402930634,0.218012866,4.651338367,0.155435701,4.842312009,3.898830835,"4","-"
"2022",76,"UNIVERSIDADE REGIONAL DE BLUMENAU","FURB","Universidade","Pública Municipal","SC",41,0.8115,3.0009,0.1153,4.476,0.0731,5,3.3173,"4","-"
"2022",80,"CENTRO UNIVERSITÁRIO PARA O DESENVOLVIMENTO DO ALTO VALE DO ITAJAÍ","UNIDAVI","Centro Universitário","Privada sem fins lucrativos","SC",13,1,3.303436129,NA,NA,NA,NA,3.303436129,"4","X"
"2022",81,"UNIVERSIDADE DA REGIÃO DE JOINVILLE","UNIVILLE","Universidade","Privada sem fins lucrativos","SC",42,0.8855,2.9876,0.0838,4.6452,0.0307,4.8,3.1821,"4","-"
"2022",82,"UNIVERSIDADE DO OESTE DE SANTA CATARINA","UNOESC","Universidade","Privada sem fins lucrativos","SC",87,0.939786938,3.311829691,0.044001853,4.58365019,0.016211209,4.5,3.387053827,"4","X"
"2022",83,"UNIVERSIDADE DO VALE DO ITAJAÍ","UNIVALI","Universidade","Privada sem fins lucrativos","SC",62,0.8133,2.914,0.0974,4.7364,0.0893,5,3.2777,"4","-"
"2022",87,"CENTRO UNIVERSITÁRIO DE BRUSQUE","UNIFEBE","Centro Universitário","Privada sem fins lucrativos","SC",16,1,3.0592,0,0,0,0,3.0592,"4","-"
"2022",441,"UNIVERSIDADE DO CONTESTADO","UNC","Universidade","Especial","SC",35,0.9506,2.2539,0.0427,4.1711,0.0067,4.5,2.3509,"3","-"
"2022",482,"UNIVERSIDADE DO EXTREMO SUL CATARINENSE","UNESC","Universidade","Privada sem fins lucrativos","SC",41,0.8359,2.6064,0.0911,4.504,0.073,4.7762,2.9376,"3","X"
"2022",494,"UNIVERSIDADE DO SUL DE SANTA CATARINA","UNISUL","Universidade","Privada sem fins lucrativos","SC",90,0.9353,2.9838,0.0363,4.7087,0.0284,4.8409,3.0991,"4","X"
"2022",585,"UNIVERSIDADE FEDERAL DE SANTA CATARINA","UFSC","Universidade","Pública Federal","SC",68,0.419858698,3.602593315,0.262373946,4.791617122,0.317767356,4.969073377,4.348784939,"5","-"
"2022",645,"Centro Universitário - Católica de Santa Catarina em Jaraguá do Sul","Católica em Jaraguá","Centro Universitário","Privada sem fins lucrativos","SC",19,1,2.923,0,0,0,0,2.923,"3","-"
"2022",1014,"INSTITUTO SUPERIOR E CENTRO EDUCACIONAL LUTERANO - BOM JESUS - IELUSC","BOM JESUS/IELUSC","Faculdade","Privada sem fins lucrativos","SC",8,1,2.5696,0,0,0,0,2.5696,"3","X"
"2022",1189,"UNIVERSIDADE DO PLANALTO CATARINENSE","UNIPLAC","Universidade","Privada sem fins lucrativos","SC",21,0.9426,2.5414,0.0574,4.5,0,0,2.6538,"3","-"
"2022",1267,"INSTITUTO DE ENSINO SUPERIOR DA GRANDE FLORIANÓPOLIS","IESGF","Faculdade","Privada com fins lucrativos","SC",7,1,2.365,0,0,0,0,2.365,"3","-"
"2022",1344,"FACULDADE BORGES DE MENDONÇA","FBM","Faculdade","Privada com fins lucrativos","SC",2,1,1.8822,0,0,0,0,1.8822,"2","-"
"2022",1351,"CENTRO UNIVERSITÁRIO SOCIESC","0","Centro Universitário","Privada com fins lucrativos","SC",28,1,3.3009,0,0,0,0,3.3009,"4","-"
"2022",1469,"FACULDADE CESUSC","0","Faculdade","Privada com fins lucrativos","SC",6,1,3.301329559,NA,NA,NA,NA,3.301329559,"4","-"
"2022",1472,"CENTRO UNIVERSITÁRIO LEONARDO DA VINCI","UNIASSELVI","Centro Universitário","Privada com fins lucrativos","SC",48,1,2.763,0,0,0,0,2.763,"3","-"
"2022",1506,"Faculdade CNEC Itajaí","0","Faculdade","Privada sem fins lucrativos","SC",5,1,2.45350762,NA,NA,NA,NA,2.45350762,"3","X"
"2022",1510,"CENTRO UNIVERSITÁRIO ESTÁCIO DE SANTA CATARINA - ESTÁCIO SANTA CATARINA","0","Centro Universitário","Privada com fins lucrativos","SC",44,1,2.8242,0,0,0,0,2.8242,"3","-"
"2022",1585,"FACULDADE ENERGIA","FEAN","Faculdade","Privada com fins lucrativos","SC",1,1,0.9865,0,0,0,0,0.9865,"2","-"
"2022",1618,"CENTRO UNIVERSITÁRIO SOCIESC DE BLUMENAU","0","Centro Universitário","Privada com fins lucrativos","SC",11,1,3.1161,0,0,0,0,3.1161,"4","-"
"2022",1694,"ESCOLA SUPERIOR DE CRICIÚMA - ESUCRI","ESUCRI","Faculdade","Privada com fins lucrativos","SC",11,1,2.407067513,NA,NA,NA,NA,2.407067513,"3","-"
"2022",1773,"CENTRO UNIVERSITÁRIO FAI","0","Centro Universitário","Privada com fins lucrativos","SC",11,1,2.3054,0,0,0,0,2.3054,"3","-"
"2022",1777,"CENTRO UNIVERSITÁRIO LEONARDO DA VINCI","UNIVINCI","Centro Universitário","Privada com fins lucrativos","SC",11,1,2.7081,0,0,0,0,2.7081,"3","-"
"2022",1783,"FACULDADE DE CIÊNCIAS SOCIAIS APLICADAS","FACISA - CELER","Faculdade","Privada sem fins lucrativos","SC",5,1,3.02077419,NA,NA,NA,NA,3.02077419,"4","X"
"2022",1827,"FACULDADE LUTERANA DE TEOLOGIA","FLT","Faculdade","Privada sem fins lucrativos","SC",1,1,3.3842,0,0,0,0,3.3842,"4","X"
"2022",1918,"Centro Universitário Univinte","FUCAP","Centro Universitário","Privada com fins lucrativos","SC",13,1,2.4011,0,0,0,0,2.4011,"3","-"
"2022",1958,"Centro Universitário SENAI Blumenau","CET BLUMENAU","Centro Universitário","Privada sem fins lucrativos","SC",2,1,1.8714,0,0,0,0,1.8714,"2","-"
"2022",1980,"FACULDADE SINERGIA","SINERGIA","Faculdade","Privada com fins lucrativos","SC",3,1,2.5538,0,0,0,0,2.5538,"3","-"
"2022",1988,"CENTRO UNIVERSITARIO AVANTIS","UNIAVAN","Centro Universitário","Privada com fins lucrativos","SC",21,1,2.5532,0,0,0,0,2.5532,"3","-"
"2022",2174,"FACULDADE DE SANTA CATARINA","FASC","Faculdade","Privada com fins lucrativos","SC",2,1,2.556742552,NA,NA,NA,NA,2.556742552,"3","-"
"2022",2175,"CENTRO UNIVERSITÁRIO DANTE","0","Centro Universitário","Privada com fins lucrativos","SC",15,1,2.6309,0,0,0,0,2.6309,"3","-"
"2022",2324,"Faculdade Anhanguera de São José-SC","0","Faculdade","Privada com fins lucrativos","SC",6,1,2.5515,0,0,0,0,2.5515,"3","-"
"2022",2369,"INSTITUTO DE ENSINO SUPERIOR SANTO ANTÔNIO","INESA","Faculdade","Privada com fins lucrativos","SC",3,1,2.9195,0,0,0,0,2.9195,"3","-"
"2022",2462,"FACULDADE SÃO LUÍS","FSL","Faculdade","Privada sem fins lucrativos","SC",2,1,3.1448,0,0,0,0,3.1448,"4","X"
"2022",2755,"Centro Universitário Uniasselvi de Brusque","FAVIM","Centro Universitário","Privada com fins lucrativos","SC",8,1,2.5148,0,0,0,0,2.5148,"3","-"
"2022",2766,"FACULDADE EMPRESARIAL DE CHAPECÓ","FAEM","Faculdade","Privada com fins lucrativos","SC",9,1,2.2577,0,0,0,0,2.2577,"3","-"
"2022",2896,"Centro Universitário SATC","FASATC","Centro Universitário","Privada sem fins lucrativos","SC",6,0.972577697,2.614960932,0.027422303,4,NA,NA,2.652941894,"3","X"
"2022",2903,"FACULDADE CONCÓRDIA","FACC","Faculdade","Privada com fins lucrativos","SC",6,1,1.4566,0,0,0,0,1.4566,"2","-"
"2022",3151,"UNIVERSIDADE COMUNITÁRIA DA REGIÃO DE CHAPECÓ","UNOCHAPECÓ","Universidade","Privada sem fins lucrativos","SC",43,0.880721003,2.777253286,0.082601881,4.626068376,0.036677116,4.785714286,3.003633447,"4","X"
"2022",3162,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DE SANTA CATARINA","IFSC","Instituto Federal de Educação, Ciência e Tecnologia","Pública Federal","SC",25,0.951866635,3.27810778,0.048133365,4.157051282,NA,NA,3.320414288,"4","-"
"2022",3170,"FACULDADE ESTÁCIO DE FLORIANÓPOLIS - ESTÁCIO FLORIANÓPOLIS","0","Faculdade","Privada com fins lucrativos","SC",5,1,2.9715,0,0,0,0,2.9715,"4","-"
"2022",3295,"FACULDADE SENAC FLORIANÓPOLIS","SENAC FLORIANÓPOLIS","Faculdade","Privada sem fins lucrativos","SC",3,1,2.7099,0,0,0,0,2.7099,"3","-"
"2022",3437,"Faculdade UNISUL de Balneário Camboriú","0","Faculdade","Privada com fins lucrativos","SC",3,1,2.8555,0,0,0,0,2.8555,"3","-"
"2022",3495,"FACULDADE PINHALZINHO","HORUS","Faculdade","Privada com fins lucrativos","SC",5,1,2.4569,0,0,0,0,2.4569,"3","-"
"2022",3518,"Faculdade SOCIESC de Jaraguá do Sul","SOCIESC","Faculdade","Privada com fins lucrativos","SC",6,1,3.3838,0,0,0,0,3.3838,"4","-"
"2022",3758,"Faculdade UNISUL de Florianópolis","0","Faculdade","Privada com fins lucrativos","SC",4,1,3.2568,0,0,0,0,3.2568,"4","-"
"2022",3840,"CENTRO UNIVERSITÁRIO FACVEST","UNIFACVEST","Centro Universitário","Privada com fins lucrativos","SC",39,0.9961,2.999,0.0039,4,0,0,3.0028,"4","-"
"2022",3946,"FACULDADE SENAC TUBARÃO","0","Faculdade","Privada sem fins lucrativos","SC",1,1,1.946442796,NA,NA,NA,NA,1.946442796,"3","-"
"2022",3948,"FACULDADE SENAC BLUMENAU","SENAC","Faculdade","Privada sem fins lucrativos","SC",10,1,2.3526,0,0,0,0,2.3526,"3","-"
"2022",4157,"FACULDADE METROPOLITANA DE RIO DO SUL","FAMESUL","Faculdade","Privada com fins lucrativos","SC",5,1,2.2541,0,0,0,0,2.2541,"3","-"
"2022",4163,"CENTRO UNIVERSITÁRIO BARRIGA VERDE","UNIBAVE","Centro Universitário","Privada sem fins lucrativos","SC",14,1,2.4056,0,0,0,0,2.4056,"3","X"
"2022",4294,"FACULDADE SENAC JARAGUÁ DO SUL","0","Faculdade","Privada sem fins lucrativos","SC",1,1,3.1501,0,0,0,0,3.1501,"4","-"
"2022",4495,"FACULDADE ANHANGUERA JARAGUÁ DO SUL","0","Faculdade","Privada com fins lucrativos","SC",2,1,2.3577,0,0,0,0,2.3577,"3","-"
"2022",4518,"FACULDADE REGIONAL PALMITOS","FAP","Faculdade","Privada com fins lucrativos","SC",1,1,1.7912,0,0,0,0,1.7912,"2","-"
"2022",4674,"FACULDADE PORTO DAS ÁGUAS","FAPAG","Faculdade","Privada com fins lucrativos","SC",1,1,1.6398,0,0,0,0,1.6398,"2","-"
"2022",4756,"CENTRO UNIVERSITÁRIO MUNICIPAL DE SÃO JOSÉ","USJ","Centro Universitário","Pública Municipal","SC",2,1,2.4076,0,0,0,0,2.4076,"3","-"
"2022",5036,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA CATARINENSE","IF Catarinense","Instituto Federal de Educação, Ciência e Tecnologia","Pública Federal","SC",33,0.8951,3.2556,0.1049,4.2609,0,0,3.361,"4","-"
"2022",5131,"FACULDADE SENAC CAÇADOR","SENAC","Faculdade","Privada sem fins lucrativos","SC",3,1,2.4026,0,0,0,0,2.4026,"3","-"
"2022",5133,"FACULDADE SENAC SÃO MIGUEL DO OESTE","0","Faculdade","Privada sem fins lucrativos","SC",1,1,3.024178736,NA,NA,NA,NA,3.024178736,"4","-"
"2022",5318,"FACULDADE GUILHERME GUIMBALA","FGG","Faculdade","Privada sem fins lucrativos","SC",4,1,2.1719,0,0,0,0,2.1719,"3","-"
"2022",5668,"FACULDADE ANHANGUERA DE JOINVILLE","0","Faculdade","Privada com fins lucrativos","SC",10,1,2.6121,0,0,0,0,2.6121,"3","-"
"2022",5706,"FACULDADE MUNICIPAL DE PALHOÇA","FMP","Faculdade","Pública Municipal","SC",2,1,3.001,0,0,0,0,3.001,"4","-"
"2022",11604,"FACULDADE SANTA RITA DE CHAPECÓ","0","Faculdade","Privada sem fins lucrativos","SC",3,1,2.8679,0,0,0,0,2.8679,"3","-"
"2022",13717,"FACULDADES DO VALE DO ARARANGUA - FVA","FVA","Faculdade","Privada com fins lucrativos","SC",1,1,2.8536,0,0,0,0,2.8536,"3","-"
"2022",14097,"FACULDADE REFIDIM","Refidim","Faculdade","Privada sem fins lucrativos","SC",1,1,3.3833,0,0,0,0,3.3833,"4","-"
"2022",14288,"FACULDADE CATÓLICA DE SANTA CATARINA","FACASC","Faculdade","Privada sem fins lucrativos","SC",1,1,3.6267,0,0,0,0,3.6267,"4","-"
"2022",15032,"UNIVERSIDADE ALTO VALE DO RIO DO PEIXE","UNIARP","Universidade","Privada sem fins lucrativos","SC",26,0.9058,3.0093,0.0942,4.5,0,0,3.1497,"4","X"
"2022",15121,"UNIVERSIDADE FEDERAL DA FRONTEIRA SUL","UFFS","Universidade","Pública Federal","SC",36,0.845495603,3.38169918,0.14879962,4.320445609,0.005704778,4.5,3.52776395,"4","-"
"2022",16914,"Faculdade Leonardo da Vinci - Santa Catarina","0","Faculdade","Privada com fins lucrativos","SC",5,1,2.7473,0,0,0,0,2.7473,"3","-"
"2022",17138,"Centro Universitário - Católica de Santa Catarina em Joinville","Católica em Joinvile","Centro Universitário","Privada sem fins lucrativos","SC",11,1,3.097789834,NA,NA,NA,NA,3.097789834,"4","-"
"2022",17277,"Faculdade  SENAC Criciúma","Senac Criciúma","Faculdade","Privada sem fins lucrativos","SC",4,1,2.3218,0,0,0,0,2.3218,"3","-"
"2022",17777,"FACULDADE SENAC CONCÓRDIA","0","Faculdade","Privada sem fins lucrativos","SC",2,1,2.734842544,NA,NA,NA,NA,2.734842544,"3","-"
"2022",18025,"FACULDADE DE EDUCAÇÃO SUPERIOR DE CHAPECÓ","FACESC","Faculdade","Privada com fins lucrativos","SC",1,1,0.9263,0,0,0,0,0.9263,"1","-"
"2022",22578,"FACULDADE CENSUPEG","0","Faculdade","Privada com fins lucrativos","SC",1,1,2.6845,0,0,0,0,2.6845,"3","-"
"2022",23095,"Instituto SOCIESC de Jaraguá do Sul","SOCIESC","Faculdade","Privada com fins lucrativos","SC",1,1,2.9052,0,0,0,0,2.9052,"3","-"
