"ano","codigo_da_ies","nome_da_ies","sigla_da_ies","organizacao_academica","categoria_administrativa","sigla_da_uf","no_de_cursos_com_cpc_no_trienio","alfa_.proporcao_de_graduacao.","conceito_medio_de_graduacao","beta_.proporcao_de_mestrado_equivalente.","conceito_medio_de_mestrado","gama_.proporcao_de_doutorandos_._equivalente.","conceito_medio_do_doutorado","igc_.continuo.","igc_.faixa.","entidade_beneficiente_de_assistencia_social_.cebas."
"2023",2175,"Centro Universitário Uniasselvi de Blumenau","","Centro Universitário","Privada com fins lucrativos","SC",17,1,2.566,0,0,0,0,2.566,"3","-"
"2023",2324,"Faculdade Anhanguera de São José-SC","FASJ-SC","Faculdade","Privada com fins lucrativos","SC",12,1,2.486,0,0,0,0,2.486,"3","-"
"2023",2369,"INSTITUTO DE ENSINO SUPERIOR SANTO ANTÔNIO","INESA","Faculdade","Privada com fins lucrativos","SC",3,1,2.849,0,0,0,0,2.849,"3","-"
"2023",2462,"FACULDADE SÃO LUÍS","FSL","Faculdade","Privada sem fins lucrativos","SC",2,1,3.134,0,0,0,0,3.134,"4","X"
"2023",2755,"Centro Universitário Uniasselvi de Brusque","","Centro Universitário","Privada com fins lucrativos","SC",9,1,2.17,0,0,0,0,2.17,"3","-"
"2023",2766,"FACULDADE EMPRESARIAL DE CHAPECÓ","FAEM","Faculdade","Privada com fins lucrativos","SC",12,1,2.03,0,0,0,0,2.03,"3","-"
"2023",2896,"Centro Universitário SATC","UniSATC","Centro Universitário","Privada sem fins lucrativos","SC",5,0.955,3.592,0.045,4,0,0,3.61,"4","X"
"2023",2903,"FACULDADE CONCÓRDIA","FACC","Faculdade","Privada com fins lucrativos","SC",3,1,1.707,0,0,0,0,1.707,"2","-"
"2023",3151,"UNIVERSIDADE COMUNITÁRIA DA REGIÃO DE CHAPECÓ","UNOCHAPECÓ","Universidade","Comunitária/Confessional","SC",42,0.838,3.055,0.108,4.618,0.054,4.814,3.319,"4","X"
"2023",3162,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA  DE SANTA CATARINA","IFSC","Instituto Federal de Educação, Ciência e Tecnologia","Pública Federal","SC",34,0.96,3.347,0.04,4.144,0,0,3.379,"4","-"
"2023",3170,"FACULDADE ESTÁCIO DE FLORIANÓPOLIS - ESTÁCIO FLORIANÓPOLIS","","Faculdade","Privada com fins lucrativos","SC",5,1,2.625,0,0,0,0,2.625,"3","-"
"2023",3295,"FACULDADE SENAC FLORIANÓPOLIS","SENAC FLORIANÓPOLIS","Faculdade","Privada sem fins lucrativos","SC",2,1,2.33,0,0,0,0,2.33,"3","-"
"2023",3437,"Faculdade UNISUL de Balneário Camboriú","","Faculdade","Privada com fins lucrativos","SC",3,1,2.72,0,0,0,0,2.72,"3","-"
"2023",3495,"FACULDADE PINHALZINHO","HORUS","Faculdade","Privada com fins lucrativos","SC",6,1,2.439,0,0,0,0,2.439,"3","-"
"2023",3518,"Faculdade SOCIESC de Jaraguá do Sul","SOCIESC","Faculdade","Privada com fins lucrativos","SC",9,1,2.756,0,0,0,0,2.756,"3","-"
"2023",3691,"FACULDADE DE TECNOLOGIA TUPY DE SÃO BENTO DO SUL","FTT-SBS","Faculdade","Privada com fins lucrativos","SC",2,1,2.924,0,0,0,0,2.924,"3","-"
"2023",3758,"Faculdade UNISUL de Florianópolis","","Faculdade","Privada com fins lucrativos","SC",10,1,2.788,0,0,0,0,2.788,"3","-"
"2023",3840,"CENTRO UNIVERSITÁRIO FACVEST","UNIFACVEST","Centro Universitário","Privada com fins lucrativos","SC",38,1,3.013,0,0,0,0,3.013,"4","-"
"2023",3946,"FACULDADE SENAC TUBARÃO","","Faculdade","Privada sem fins lucrativos","SC",2,1,2.184,0,0,0,0,2.184,"3","-"
"2023",3948,"FACULDADE SENAC BLUMENAU","SENAC","Faculdade","Privada sem fins lucrativos","SC",10,1,2.307,0,0,0,0,2.307,"3","-"
