ano,codigo_da_ies,nome_da_ies,sigla_da_ies,organizacao_academica,categoria_administrativa,sigla_da_uf,no_de_cursos_com_cpc_no_trienio,alfa_(proporcao_de_graduacao),conceito_medio_de_graduacao,beta_(proporcao_de_mestrado_equivalente),conceito_medio_de_mestrado,gama_(proporcao_de_doutorandos_-_equivalente),conceito_medio_do_doutorado,igc_(continuo),igc_(faixa),(observacao),entidade_beneficiente_de_assistencia_social_(cebas)
2022,58,FACULDADE DE DIREITO DE SÃO BERNARDO DO CAMPO,FDSBC,Faculdade,Especial,SP,1,1.0,3.246398282,,,,,3.246398282,4,2,-
2022,59,FACULDADE DE DIREITO DE FRANCA,FDF,Faculdade,Pública Municipal,SP,1,1.0,3.0861,0.0,0.0,0.0,0.0,3.0861,4,1,-
2022,60,CENTRO UNIVERSITÁRIO MUNICIPAL DE FRANCA,UNI-FACEF,Centro Universitário,Especial,SP,7,0.9435,2.8194,0.0565,4.0,0.0,0.0,2.8861,3,1,-
2022,67,ESCOLA DE ENGENHARIA DE PIRACICABA,EEP/FUMEP,Faculdade,Pública Municipal,SP,7,1.0,2.4992,0.0,0.0,0.0,0.0,2.4992,3,1,-
2022,68,FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE PENÁPOLIS,FAFIPE,Faculdade,Privada sem fins lucrativos,SP,6,1.0,3.0871,0.0,0.0,0.0,0.0,3.0871,4,1,-
2022,71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,UERN,Universidade,Pública Estadual,RN,51,0.792543334,2.870366277,0.162215197,4.336895388,0.04524147,4.931034483,3.201487243,4,2,-
2022,72,FACULDADE DE FORMAÇÃO DE PROFESSORES DA MATA SUL,FAMASUL,Faculdade,Especial,PE,5,1.0,1.6127,0.0,0.0,0.0,0.0,1.6127,2,1,-
2022,73,CENTRO DE ENSINO SUPERIOR DE ARCOVERDE,CESA,Faculdade,Especial,PE,7,1.0,1.4527,0.0,0.0,0.0,0.0,1.4527,2,1,-
2022,74,FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE SÃO JOSÉ DO RIO PARDO,FFCL,Faculdade,Pública Municipal,SP,4,1.0,1.3651,0.0,0.0,0.0,0.0,1.3651,2,1,-
2022,76,UNIVERSIDADE REGIONAL DE BLUMENAU,FURB,Universidade,Pública Municipal,SC,41,0.8115,3.0009,0.1153,4.476,0.0731,5.0,3.3173,4,1,-
2022,78,FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE ALEGRE,FAFIA,Faculdade,Pública Municipal,ES,1,1.0,2.056010159,,,,,2.056010159,3,2,-
2022,79,INSTITUTO MUNICIPAL DE ENSINO SUPERIOR DE CATANDUVA,IMES CATANDUVA,Faculdade,Pública Municipal,SP,6,1.0,1.933256167,,,,,1.933256167,2,2,-
2022,80,CENTRO UNIVERSITÁRIO PARA O DESENVOLVIMENTO DO ALTO VALE DO ITAJAÍ,UNIDAVI,Centro Universitário,Privada sem fins lucrativos,SC,13,1.0,3.303436129,,,,,3.303436129,4,2,X
2022,81,UNIVERSIDADE DA REGIÃO DE JOINVILLE,UNIVILLE,Universidade,Privada sem fins lucrativos,SC,42,0.8855,2.9876,0.0838,4.6452,0.0307,4.8,3.1821,4,1,-
2022,82,UNIVERSIDADE DO OESTE DE SANTA CATARINA,UNOESC,Universidade,Privada sem fins lucrativos,SC,87,0.939786938,3.311829691,0.044001853,4.58365019,0.016211209,4.5,3.387053827,4,2,X
2022,83,UNIVERSIDADE DO VALE DO ITAJAÍ,UNIVALI,Universidade,Privada sem fins lucrativos,SC,62,0.8133,2.914,0.0974,4.7364,0.0893,5.0,3.2777,4,1,-
2022,87,CENTRO UNIVERSITÁRIO DE BRUSQUE,UNIFEBE,Centro Universitário,Privada sem fins lucrativos,SC,16,1.0,3.0592,0.0,0.0,0.0,0.0,3.0592,4,1,-
2022,93,FACULDADE DE MEDICINA DE JUNDIAÍ,FMJ,Faculdade,Pública Municipal,SP,1,0.893,3.0836,0.0521,4.0,0.0549,4.0,3.1817,4,1,-
2022,95,UNIVERSIDADE ESTADUAL VALE DO ACARAÚ,UVA,Universidade,Pública Estadual,CE,25,0.9589,2.6603,0.0396,4.3302,0.0015,4.5,2.7291,3,1,-
2022,99,FACULDADE DE DIREITO DE CONSELHEIRO LAFAIETE,FDCL,Faculdade,Privada sem fins lucrativos,MG,1,1.0,2.661306636,,,,,2.661306636,3,2,-
2022,107,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,UFSJ,Universidade,Pública Federal,MG,41,0.7778,3.3527,0.1682,4.4156,0.054,4.906,3.6153,4,1,-
2022,109,FACULDADES INTEGRADAS RUI BARBOSA,FIRB,Faculdade,Privada sem fins lucrativos,SP,4,1.0,2.4431,0.0,0.0,0.0,0.0,2.4431,3,1,-
2022,124,UNIVERSIDADE DE ARARAQUARA,UNIARA,Universidade,Privada sem fins lucrativos,SP,37,0.9081,2.5866,0.0592,4.4167,0.0327,4.8621,2.7694,3,1,-
2022,125,CENTRO UNIVERSITÁRIO DE ARARAS -,UNAR,Centro Universitário,Privada sem fins lucrativos,SP,25,1.0,2.2878,0.0,0.0,0.0,0.0,2.2878,3,1,-
2022,126,INSTITUTO NACIONAL DE TELECOMUNICAÇÕES,INATEL,Faculdade,Privada sem fins lucrativos,MG,2,0.8355,3.2089,0.1011,4.5,0.0635,4.5,3.4213,4,1,-
2022,135,Claretiano - Centro Universitário,CEUCLAR,Centro Universitário,Privada sem fins lucrativos,SP,42,1.0,2.8614,0.0,0.0,0.0,0.0,2.8614,3,1,X
2022,137,CENTRO UNIVERSITÁRIO SAGRADO CORAÇÃO,USC,Centro Universitário,Privada sem fins lucrativos,SP,28,1.0,3.209,0.0,0.0,0.0,0.0,3.209,4,1,-
2022,138,CENTRO UNIVERSITÁRIO BARÃO DE MAUÁ,CBM,Centro Universitário,Privada sem fins lucrativos,SP,27,1.0,3.151721383,,,,,3.151721383,4,2,-
2022,139,FACULDADE UNIBRASÍLIA DE CIÊNCIAS ECONÔMICAS DE MINAS GERAIS,FCETM,Faculdade,Privada sem fins lucrativos,MG,2,,0.0,0.0,0.0,0.0,0.0,,SC,2,-
2022,140,UNIVERSIDADE DE VASSOURAS,0,Universidade,Privada sem fins lucrativos,RJ,14,0.9655479,3.123615676,0.0344521,4.224299065,,,3.16153653,4,2,-
2022,141,FACULDADE DE DIREITO DE VARGINHA - FADIVA,FADIVA,Faculdade,Privada sem fins lucrativos,MG,1,1.0,2.0177,0.0,0.0,0.0,0.0,2.0177,3,1,-
2022,142,CENTRO UNIVERSITÁRIO DO TRIÂNGULO,UNITRI,Centro Universitário,Privada sem fins lucrativos,MG,16,1.0,2.2156,0.0,0.0,0.0,0.0,2.2156,3,1,-
2022,143,UNIVERSIDADE DE UBERABA,UNIUBE,Universidade,Privada sem fins lucrativos,MG,61,0.972050616,2.738361915,0.019854288,4.451020408,0.008095096,4.5,2.78662616,3,2,X
2022,144,FACULDADE DE CIÊNCIAS HUMANAS DE OLINDA,FACHO,Faculdade,Privada sem fins lucrativos,PE,6,1.0,2.698928412,,,,,2.698928412,3,2,X
2022,146,CENTRO UNIVERSITÁRIO DE RIO PRETO,UNIRP,Centro Universitário,Privada com fins lucrativos,SP,37,1.0,2.473,0.0,0.0,0.0,0.0,2.473,3,1,-
2022,149,FACULDADE DE MEDICINA DE SÃO JOSÉ DO RIO PRETO,FAMERP,Faculdade,Pública Estadual,SP,3,0.490886235,3.678581361,0.313010685,4.631818182,0.19610308,5.0,4.236088936,5,2,-
2022,150,UNIVERSIDADE DE SOROCABA,UNISO,Universidade,Privada sem fins lucrativos,SP,48,0.945,2.7631,0.0274,4.573,0.0277,4.6092,2.8637,3,1,X
2022,151,ESCOLA DE ADMINISTRAÇÃO DE EMPRESAS DE SÃO PAULO - FGV EAESP,FGV-EAESP,Faculdade,Privada sem fins lucrativos,SP,2,0.441186216,3.71602416,0.370609675,4.820543093,0.188204109,5.0,4.367019092,5,2,-
2022,152,FACULDADE DE CIÊNCIAS CONTÁBEIS,FACIC,Faculdade,Privada sem fins lucrativos,BA,1,1.0,2.5465,0.0,0.0,0.0,0.0,2.5465,3,1,-
2022,158,CONSERVATÓRIO BRASILEIRO DE MÚSICA - CENTRO UNIVERSITÁRIO BRASILEIRO DE EDUCAÇÃO,CBM-UniCBE,Centro Universitário,Privada sem fins lucrativos,RJ,16,1.0,1.882,0.0,0.0,0.0,0.0,1.882,2,1,-
2022,160,FACULDADE FRASSINETTI DO RECIFE,FAFIRE,Faculdade,Privada sem fins lucrativos,PE,13,1.0,2.917776845,,,,,2.917776845,3,2,-
2022,161,CENTRO UNIVERSITÁRIO ASSUNÇÃO,UNIFAI,Centro Universitário,Privada sem fins lucrativos,SP,8,1.0,2.7603,0.0,0.0,0.0,0.0,2.7603,3,1,-
2022,162,CENTRO UNIVERSITÁRIO BELAS ARTES DE SÃO PAULO,FEBASP,Centro Universitário,Privada sem fins lucrativos,SP,9,0.9782,3.0283,0.0218,4.5,0.0,0.0,3.0604,4,1,X
2022,163,UNIVERSIDADE ESTÁCIO DE SÁ,UNESA,Universidade,Privada com fins lucrativos,RJ,336,0.9912,2.8182,0.0062,4.7721,0.0026,4.7674,2.8354,3,1,-
2022,165,UNIVERSIDADE VEIGA DE ALMEIDA,UVA,Universidade,Privada com fins lucrativos,RJ,72,0.9832,3.1701,0.01,4.4416,0.0068,4.5,3.1919,4,1,-
2022,166,"FAI - CENTRO DE ENSINO SUPERIOR EM GESTÃO, TECNOLOGIA E EDUCAÇÃO",0,Faculdade,Privada sem fins lucrativos,MG,5,1.0,2.715814524,,,,,2.715814524,3,2,X
2022,167,UNIVERSIDADE METODISTA DE SÃO PAULO,UMESP,Universidade,Privada sem fins lucrativos,SP,41,0.9305,2.683,0.0304,4.5785,0.0391,4.4767,2.8107,3,1,X
