"Limites","Frequência"
"[0.923,1.35)",1
"[1.35,1.77)",3
"[1.77,2.2)",12
"[2.2,2.62)",36
"[2.62,3.05)",35
"[3.05,3.47)",22
"[3.47,3.9)",5
"[3.9,4.32]",1
